ticker,close_time,strike,result
KXETH-26MAR2805-B2090,2026-04-04 09:00:00+00:00,2090.0,no
KXETH-26MAR2804-B2090,2026-04-04 08:00:00+00:00,2090.0,no
KXETH-26MAR2802-B2390,2026-04-04 06:00:00+00:00,2390.0,no
KXETH-26MAR2803-B2090,2026-04-04 07:00:00+00:00,2090.0,no
KXETH-26MAR2801-B2090,2026-04-04 05:00:00+00:00,2090.0,no
KXETH-26MAR2800-B2290,2026-04-04 04:00:00+00:00,2290.0,no
KXETH-26MAR2817-B2100,2026-04-04 21:00:00+00:00,2100.0,no
KXETH-26MAR2723-B2090,2026-04-04 03:00:00+00:00,2090.0,no
KXETH-26MAR2721-B2790,2026-04-04 01:00:00+00:00,2790.0,no
KXETH-26MAR2722-B2090,2026-04-04 02:00:00+00:00,2090.0,no
KXETH-26MAR2720-B2290,2026-04-04 00:00:00+00:00,2290.0,no
KXETH-26MAR2719-B2090,2026-04-03 23:00:00+00:00,2090.0,no
KXETH-26MAR2716-B2790,2026-04-03 20:00:00+00:00,2790.0,no
KXETH-26MAR2718-B2090,2026-04-03 22:00:00+00:00,2090.0,no
KXETH-26MAR2715-B2290,2026-04-03 19:00:00+00:00,2290.0,no
KXETH-26MAR2714-B2090,2026-04-03 18:00:00+00:00,2090.0,no
KXETH-26MAR2712-B2790,2026-04-03 16:00:00+00:00,2790.0,no
KXETH-26MAR2713-B2090,2026-04-03 17:00:00+00:00,2090.0,no
KXETH-26MAR2711-B2290,2026-04-03 15:00:00+00:00,2290.0,no
KXETH-26MAR2710-B2090,2026-04-03 14:00:00+00:00,2090.0,no
KXETH-26MAR2708-B2790,2026-04-03 12:00:00+00:00,2790.0,no
KXETH-26MAR2709-B2090,2026-04-03 13:00:00+00:00,2090.0,no
KXETH-26MAR2707-B2290,2026-04-03 11:00:00+00:00,2290.0,no
KXETH-26MAR2706-B2090,2026-04-03 10:00:00+00:00,2090.0,no
KXETH-26MAR2704-B2790,2026-04-03 08:00:00+00:00,2790.0,no
KXETH-26MAR2705-B2090,2026-04-03 09:00:00+00:00,2090.0,no
KXETH-26MAR2703-B2290,2026-04-03 07:00:00+00:00,2290.0,no
KXETH-26MAR2702-B2090,2026-04-03 06:00:00+00:00,2090.0,no
KXETH-26MAR2700-B2840,2026-04-03 04:00:00+00:00,2840.0,no
KXETH-26MAR2701-B2090,2026-04-03 05:00:00+00:00,2090.0,no
KXETH-26MAR2623-B2340,2026-04-03 03:00:00+00:00,2340.0,no
KXETH-26MAR2622-B2100,2026-04-03 02:00:00+00:00,2100.0,no
KXETH-26MAR2620-B2840,2026-04-03 00:00:00+00:00,2840.0,no
KXETH-26MAR2621-B2100,2026-04-03 01:00:00+00:00,2100.0,no
KXETH-26MAR2619-B2340,2026-04-02 23:00:00+00:00,2340.0,no
KXETH-26MAR2618-B2100,2026-04-02 22:00:00+00:00,2100.0,no
KXETH-26MAR2615-B2840,2026-04-02 19:00:00+00:00,2840.0,no
KXETH-26MAR2616-B2100,2026-04-02 20:00:00+00:00,2100.0,no
KXETH-26MAR2614-B2340,2026-04-02 18:00:00+00:00,2340.0,no
KXETH-26MAR2613-B2100,2026-04-02 17:00:00+00:00,2100.0,no
KXETH-26MAR2611-B2840,2026-04-02 15:00:00+00:00,2840.0,no
KXETH-26MAR2612-B2100,2026-04-02 16:00:00+00:00,2100.0,no
KXETH-26MAR2610-B2340,2026-04-02 14:00:00+00:00,2340.0,no
KXETH-26MAR2609-B2100,2026-04-02 13:00:00+00:00,2100.0,no
KXETH-26MAR2607-B2840,2026-04-02 11:00:00+00:00,2840.0,no
KXETH-26MAR2608-B2100,2026-04-02 12:00:00+00:00,2100.0,no
KXETH-26MAR2606-B2340,2026-04-02 10:00:00+00:00,2340.0,no
KXETH-26MAR2601-B2100,2026-04-02 05:00:00+00:00,2100.0,no
KXETH-26MAR2600-B2140,2026-04-02 04:00:00+00:00,2140.0,no
KXETH-26MAR2617-B2090,2026-04-02 21:00:00+00:00,2090.0,no
KXETH-26MAR2523-B2100,2026-04-02 03:00:00+00:00,2100.0,no
